Date,Control Point,Arrival / Departure,Total
01-01-2025,Lo Wu,Arrival,105348
02-01-2025,Lo Wu,Arrival,81429
03-01-2025,Lo Wu,Arrival,80618
04-01-2025,Lo Wu,Arrival,95823
05-01-2025,Lo Wu,Arrival,113139
06-01-2025,Lo Wu,Arrival,85120
07-01-2025,Lo Wu,Arrival,80241
08-01-2025,Lo Wu,Arrival,80139
09-01-2025,Lo Wu,Arrival,81153
10-01-2025,Lo Wu,Arrival,84835
11-01-2025,Lo Wu,Arrival,106574
12-01-2025,Lo Wu,Arrival,131521
13-01-2025,Lo Wu,Arrival,92592
14-01-2025,Lo Wu,Arrival,83787
15-01-2025,Lo Wu,Arrival,86202
16-01-2025,Lo Wu,Arrival,89208
17-01-2025,Lo Wu,Arrival,92022
18-01-2025,Lo Wu,Arrival,115520
19-01-2025,Lo Wu,Arrival,140849
20-01-2025,Lo Wu,Arrival,96975
21-01-2025,Lo Wu,Arrival,88235
22-01-2025,Lo Wu,Arrival,85713
23-01-2025,Lo Wu,Arrival,85582
24-01-2025,Lo Wu,Arrival,86064
25-01-2025,Lo Wu,Arrival,89641
26-01-2025,Lo Wu,Arrival,85540
27-01-2025,Lo Wu,Arrival,62751
28-01-2025,Lo Wu,Arrival,37285
29-01-2025,Lo Wu,Arrival,44228
30-01-2025,Lo Wu,Arrival,82262
31-01-2025,Lo Wu,Arrival,113866
01-02-2025,Lo Wu,Arrival,120522
02-02-2025,Lo Wu,Arrival,134293
03-02-2025,Lo Wu,Arrival,108171
04-02-2025,Lo Wu,Arrival,96033
05-02-2025,Lo Wu,Arrival,89251
06-02-2025,Lo Wu,Arrival,78436
07-02-2025,Lo Wu,Arrival,78614
08-02-2025,Lo Wu,Arrival,92322
09-02-2025,Lo Wu,Arrival,112888
10-02-2025,Lo Wu,Arrival,79754
11-02-2025,Lo Wu,Arrival,72898
12-02-2025,Lo Wu,Arrival,65864
13-02-2025,Lo Wu,Arrival,76605
14-02-2025,Lo Wu,Arrival,83922
15-02-2025,Lo Wu,Arrival,107849
16-02-2025,Lo Wu,Arrival,132773
17-02-2025,Lo Wu,Arrival,87028
18-02-2025,Lo Wu,Arrival,80379
19-02-2025,Lo Wu,Arrival,78422
20-02-2025,Lo Wu,Arrival,80447
21-02-2025,Lo Wu,Arrival,83011
22-02-2025,Lo Wu,Arrival,105837
23-02-2025,Lo Wu,Arrival,131217
24-02-2025,Lo Wu,Arrival,85827
25-02-2025,Lo Wu,Arrival,77060
26-02-2025,Lo Wu,Arrival,75690
27-02-2025,Lo Wu,Arrival,77403
01-01-2025,Lok Ma Chau,Arrival,23124
02-01-2025,Lok Ma Chau,Arrival,15811
03-01-2025,Lok Ma Chau,Arrival,14897
04-01-2025,Lok Ma Chau,Arrival,19676
05-01-2025,Lok Ma Chau,Arrival,25512
06-01-2025,Lok Ma Chau,Arrival,16529
07-01-2025,Lok Ma Chau,Arrival,13881
08-01-2025,Lok Ma Chau,Arrival,14564
09-01-2025,Lok Ma Chau,Arrival,14650
10-01-2025,Lok Ma Chau,Arrival,16453
11-01-2025,Lok Ma Chau,Arrival,22519
12-01-2025,Lok Ma Chau,Arrival,30787
13-01-2025,Lok Ma Chau,Arrival,17987
14-01-2025,Lok Ma Chau,Arrival,14929
15-01-2025,Lok Ma Chau,Arrival,15548
16-01-2025,Lok Ma Chau,Arrival,17745
17-01-2025,Lok Ma Chau,Arrival,18083
18-01-2025,Lok Ma Chau,Arrival,25947
19-01-2025,Lok Ma Chau,Arrival,33631
20-01-2025,Lok Ma Chau,Arrival,20080
21-01-2025,Lok Ma Chau,Arrival,17577
22-01-2025,Lok Ma Chau,Arrival,17018
23-01-2025,Lok Ma Chau,Arrival,16614
24-01-2025,Lok Ma Chau,Arrival,17052
25-01-2025,Lok Ma Chau,Arrival,20356
26-01-2025,Lok Ma Chau,Arrival,22530
27-01-2025,Lok Ma Chau,Arrival,14884
28-01-2025,Lok Ma Chau,Arrival,10134
29-01-2025,Lok Ma Chau,Arrival,10477
30-01-2025,Lok Ma Chau,Arrival,17461
31-01-2025,Lok Ma Chau,Arrival,23849
01-02-2025,Lok Ma Chau,Arrival,27789
02-02-2025,Lok Ma Chau,Arrival,30522
03-02-2025,Lok Ma Chau,Arrival,22445
04-02-2025,Lok Ma Chau,Arrival,18215
05-02-2025,Lok Ma Chau,Arrival,17854
06-02-2025,Lok Ma Chau,Arrival,14438
07-02-2025,Lok Ma Chau,Arrival,14791
08-02-2025,Lok Ma Chau,Arrival,19283
09-02-2025,Lok Ma Chau,Arrival,26305
10-02-2025,Lok Ma Chau,Arrival,15696
11-02-2025,Lok Ma Chau,Arrival,12857
12-02-2025,Lok Ma Chau,Arrival,11904
13-02-2025,Lok Ma Chau,Arrival,13292
14-02-2025,Lok Ma Chau,Arrival,15991
15-02-2025,Lok Ma Chau,Arrival,24258
16-02-2025,Lok Ma Chau,Arrival,31288
17-02-2025,Lok Ma Chau,Arrival,17014
18-02-2025,Lok Ma Chau,Arrival,13700
19-02-2025,Lok Ma Chau,Arrival,13736
20-02-2025,Lok Ma Chau,Arrival,14138
21-02-2025,Lok Ma Chau,Arrival,15573
22-02-2025,Lok Ma Chau,Arrival,21928
23-02-2025,Lok Ma Chau,Arrival,31847
24-02-2025,Lok Ma Chau,Arrival,17368
25-02-2025,Lok Ma Chau,Arrival,13227
26-02-2025,Lok Ma Chau,Arrival,13621
27-02-2025,Lok Ma Chau,Arrival,13655
01-01-2025,Lo Wu,Departure,85610
02-01-2025,Lo Wu,Departure,76475
03-01-2025,Lo Wu,Departure,88135
04-01-2025,Lo Wu,Departure,115516
05-01-2025,Lo Wu,Departure,89249
06-01-2025,Lo Wu,Departure,82194
07-01-2025,Lo Wu,Departure,83055
08-01-2025,Lo Wu,Departure,82272
09-01-2025,Lo Wu,Departure,84140
10-01-2025,Lo Wu,Departure,98627
11-01-2025,Lo Wu,Departure,133463
12-01-2025,Lo Wu,Departure,101711
13-01-2025,Lo Wu,Departure,87521
14-01-2025,Lo Wu,Departure,86091
15-01-2025,Lo Wu,Departure,88318
16-01-2025,Lo Wu,Departure,91857
17-01-2025,Lo Wu,Departure,106762
18-01-2025,Lo Wu,Departure,142069
19-01-2025,Lo Wu,Departure,113635
20-01-2025,Lo Wu,Departure,95277
21-01-2025,Lo Wu,Departure,91969
22-01-2025,Lo Wu,Departure,91679
23-01-2025,Lo Wu,Departure,96068
24-01-2025,Lo Wu,Departure,120574
25-01-2025,Lo Wu,Departure,141206
26-01-2025,Lo Wu,Departure,103541
27-01-2025,Lo Wu,Departure,88841
28-01-2025,Lo Wu,Departure,73831
29-01-2025,Lo Wu,Departure,82466
30-01-2025,Lo Wu,Departure,111751
31-01-2025,Lo Wu,Departure,103563
01-02-2025,Lo Wu,Departure,92947
02-02-2025,Lo Wu,Departure,69310
03-02-2025,Lo Wu,Departure,75625
04-02-2025,Lo Wu,Departure,69539
05-02-2025,Lo Wu,Departure,71481
06-02-2025,Lo Wu,Departure,72146
